x,x-1,y-1,x-2,y-2,y
0.945,0.2725,0.320137342,0.635,0.823460203,0.826662121
1,0.945,0.826662121,0.2725,0.320137342,0.482728292
0.745,1,0.482728292,0.945,0.826662121,0.335928231
0.1225,0.745,0.335928231,1,0.482728292,0.191162554
0.1925,0.1225,0.191162554,0.745,0.335928231,0.564823423
0.38,0.1925,0.564823423,0.1225,0.191162554,0.615963182
0.85,0.38,0.615963182,0.1925,0.564823423,0.724251592
0.91,0.85,0.724251592,0.38,0.615963182,0.493707342
0.995,0.91,0.493707342,0.85,0.724251592,0.499666942
0.9975,0.995,0.499666942,0.91,0.493707342,0.454163041
0.4275,0.9975,0.454163041,0.995,0.499666942,0.192082996
0.02,0.4275,0.192082996,0.9975,0.454163041,0.318535815
